MAGIC_KEY,BOX_ID
2C0B5F97180,137
2C2F659EF00,143
29D629EDF20,238
2A7073E2FF0,231
2A9B9BE1210,271
2BCE8794990,41
2BEBC7DE8D0,163
2BEBF5FAC00,144
2BEEB2DA940,143
2C18732FF50,143
2C242858E80,41
297D479552C,258
2983162CB4C,215
298360B04AC,258
29A704C8044,246
29A71E82C28,231
29D21EF0E3C,255
29D45BE7DE8,238
29D6BE7F134,258
29D89766F14,143
29D9691C70C,215
29D9B1696CC,231
29DA2BC9C50,231
29DA68A7500,258
29DF722B8C4,238
29E19245194,203
29E4AACFACC,271
29E6042D208,271
29E67364DB0,238
29EBE8FE224,258
29F076D781C,258
29F3B20ED74,268
29F528EEFB0,258
29F80D17FC8,215
29F8B811F50,255
29F933178F8,258
29F9538DB78,255
29FB48087EC,271
29FCD15A508,258
29FE85A5A5C,255
29FF32BE9C8,215
2A007EBCD88,203
2A03C05128C,238
2A03D6A2644,255
2A04794F9B4,201
2A05B33A984,258
2A06CDE2560,238
2A06E79D144,203
2A0F78B4670,258
2A10E49B248,238
2A1286BB9F0,246
2A13928A690,255
2A13D5AD530,258
2A76221BD4C,143
2AB23F301A8,271
2AB5CD37C78,144
2AC89AEEF60,271
2ADCFE9A500,137
2B8899F5828,118
2BC4A8EDB28,143
2BC4BF0FB68,115
2BC4C8EDCFC,163
2BC4F06634C,103
2BC57BBE7F0,106
2BC5FD38B00,143
2BC60994368,27
2BC6862B28C,143
2BC778B53F4,142
2BC7D1FA2D4,41
2BC81FFEE1C,29
2BC87B045F0,131
2BC9E02FB2C,143
2BCAA1D955C,163
2BCB557E7EC,119
2BCC5597048,143
2BCCF758260,143
2BCD3BADF8C,89
2BCD53908C0,143
2BCD7E2BA08,41
2BCD80EFE10,143
2BCDC71DDEC,89
2BCF7627864,163
2BCFA604488,89
2BCFEFB364C,143
2BCFF392F24,115
2BD0B7A266C,119
2BD11AADD24,8
2BD19D1418C,131
2BD1BDB9784,27
2BD1C4A4198,119
2BD1D8A71F4,8
2BD3143B0FC,163
2BD33FF1714,137
2BD43907BA0,163
2BD46021B00,89
2BD4B94F024,143
2BD532C3450,143
2BD54A5F050,8
2BD615E6C14,143
2BD6178FB4C,163
2BD6F0ECB38,143
2BD814106A4,163
2BD86727950,118
2BDAD11F75C,106
2BDB490260C,163
2BDB5033D54,163
2BDB561AC54,137
2BDB6ED1D24,94
2BDBF42B90C,137
2BDC12F8C54,65
2BDC7310B8C,143
2BDD59B5538,137
2BDE348C0E4,27
